text,label,notes
"Lakers draft pick Cameron Carr on whom he’d rather guard, SGA or Anthony Edwards: ""Yeah, I ain't dealing with the flopping, Anthony Edwards""",hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
[Charania] Sources: New York is trading No. 24 to the Los Angeles Lakers for No. 25.,hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
Cade Cunningham gets trolled on Instagram live before draft night,hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
[2026 NBA Draft] #1 Pick: AJ Dybantsa (BYU),hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
[Highlight] Warriors General Manager Mike Dunleavy and owner Joe Lacob visibly disagree on what to do with the 11th overall pick.,hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
"[ESPN] Cameron Boozer: ""Many years down the line, people are gonna look back and say I should’ve been [the No. 1 pick].”",reaction,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
[All-Access] Anicet Dybantsa Jr. is selected 1st overall by the Washington Wizards in the 2026 NBA Draft.,hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
[Charania] Sources: New York traded No. 25 pick Sergio De Larrea to the Dallas Mavericks for No. 30 Koa Peat and two second-round picks. And then the Knicks traded Peat to the Phoenix Suns for three-rounders and cash. So Knicks move out of the first round — pick up 3 seconds and cash.,hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
"Yaxel Lendeborg on playing with Stephen Curry: ""It’s a full-circle moment for me. In 2016, I’m a big Kyrie guy, so I used to hate Steph Curry.""",hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
"[Kenney] Becky Hammon on Jalen Brunson: “Jalen, all he did was prove history wrong, he proves he's an outlier, so you can put his name next to Steph Curry and Isaiah Thomas…He was that 1A dude, but like, apologize, I’m never gonna apologize for having an opinion, that’s what ESPN pays me for.”",reaction,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
"Cameron Carr says ""I'm being traded, I'm being traded"" as he walks up to the podium to greet Adam Silver after being drafted",hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
Who else is excited for the Adam Silver gimmick of starting all NBA related events 30 minutes late.,hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
"[KUTV2news] Darryn Peterson: “I think me and Keyonte are going to be one of the best backcourts in the NBA…and what fans should know about me? I’m a cool guy, approachable. Want a pic or autograph or anything just come say what’s up!”",hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
"Jalen Brunson to release children's book: 'I’ve been thinking a lot about how I can show kids who might not be the tallest or the fastest, that they, too, have greatness in them.'",hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
"[All-Access] “It was meant to be, bro!” Cameron Boozer meets his new Memphis Grizzlies teammate Cedric Coward.",hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
"The NBA Draft should be incredible TV. Instead, the league keeps botching it.",hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
[All-Access] Caleb Wilson is selected 4th overall by the Chicago Bulls in the 2026 NBA Draft.,hot_take,scraped from r/nba RSS; auto-labeled — NEEDS MANUAL REVIEW
